1001/100 7+8
552	56 1/8
553	56 2/8
554	56 3/8
555	56 4/8
556	56 5/8
557	56 6/8
558	56 7/8
559	A
560	57 0/9
561	57 1/9
562	57 2/9
563	57 3/9
564	57 4/9
565	57 5/9
566	57 6/9
567	A
568	57 7/9
569	57 8/9
570	58 0/9
571	58 1/9
572	58 2/9
573	58 3/9
574	58 4/9
575	A
576	58 5/9
577	58 6/9
578	58 7/9
579	58 8/9
580	59 0/9
581	59 1/9
582	59 2/9
583	A
584	59 3/9
585	59 4/9
586	59 5/9
587	59 6/9
588	59 7/9
589	59 8/9
590	60 0/8
591	A
592	60 1/8
593	60 2/8
594	60 3/8
595	60 4/8
596	60 5/8
597	60 6/8
598	60 7/8
599	A
600	61 0/9
601	61 1/9
602	61 2/9
603	61 3/9
604	61 4/9
605	61 5/9
606	61 6/9
607	A
608	61 7/9
609	61 8/9
610	62 0/9
611	62 1/9
612	62 2/9
613	62 3/9
614	62 4/9
615	A
616	62 5/9
617	62 6/9
618	62 7/9
619	62 8/9
620	63 0/9
621	63 1/9
622	63 2/9
623	A
624	63 3/9
625	63 4/9
626	63 5/9
627	63 6/9
628	63 7/9
629	63 8/9
630	64 0/8
631	A
632	64 1/8
633	64 2/8
634	64 3/8
635	64 4/8
636	64 5/8
637	64 6/8
638	64 7/8
639	A
640	65 0/9
641	65 1/9
642	65 2/9
643	65 3/9
644	65 4/9
645	65 5/9
646	65 6/9
647	A
648	65 7/9
649	65 8/9
650	66 0/9
651	66 1/9
652	66 2/9
653	66 3/9
654	66 4/9
655	A
656	66 5/9
657	66 6/9
658	66 7/9
659	66 8/9
660	67 0/9
661	67 1/9
662	67 2/9
663	A
664	67 3/9
665	67 4/9
666	67 5/9
667	67 6/9
668	67 7/9
669	67 8/9
670	68 0/8
671	A
672	68 1/8
673	68 2/8
674	68 3/8
675	68 4/8
676	68 5/8
677	68 6/8
678	68 7/8
679	A
680	69 0/9
681	69 1/9
682	69 2/9
683	69 3/9
684	69 4/9
685	69 5/9
686	69 6/9
687	A
688	69 7/9
689	69 8/9
690	70 0/9
691	70 1/9
692	70 2/9
693	70 3/9
694	70 4/9
695	A
696	70 5/9
697	70 6/9
698	70 7/9
699	70 8/9
700	71 0/9
701	71 1/9
702	71 2/9
703	A
704	71 3/9
705	71 4/9
706	71 5/9
707	71 6/9
708	71 7/9
709	71 8/9
710	72 0/8
711	A
712	72 1/8
713	72 2/8
714	72 3/8
715	72 4/8
716	72 5/8
717	72 6/8
718	72 7/8
719	A
720	73 0/9
721	73 1/9
722	73 2/9
723	73 3/9
724	73 4/9
725	73 5/9
726	73 6/9
727	A
728	73 7/9
729	73 8/9
730	74 0/9
731	74 1/9
732	74 2/9
733	74 3/9
734	74 4/9
735	A
736	74 5/9
737	74 6/9
738	74 7/9
739	74 8/9
740	75 0/9
741	75 1/9
742	75 2/9
743	A
744	75 3/9
745	75 4/9
746	75 5/9
747	75 6/9
748	75 7/9
749	75 8/9
750	76 0/8
751	A
752	76 1/8
753	76 2/8
754	76 3/8
755	76 4/8
756	76 5/8
757	76 6/8
758	76 7/8
759	A
760	77 0/9
761	77 1/9
762	77 2/9
763	77 3/9
764	77 4/9
765	77 5/9
766	77 6/9
767	A
768	77 7/9
769	77 8/9
770	78 0/9
771	78 1/9
772	78 2/9
773	78 3/9
774	78 4/9
775	A
776	78 5/9
777	78 6/9
778	78 7/9
779	78 8/9
780	79 0/9
781	79 1/9
782	79 2/9
783	A
784	79 3/9
785	79 4/9
786	79 5/9
787	79 6/9
788	79 7/9
789	79 8/9
790	80 0/8
791	A
792	80 1/8
793	80 2/8
794	80 3/8
795	80 4/8
796	80 5/8
797	80 6/8
798	80 7/8
799	A
800	81 0/9
801	81 1/9
802	81 2/9
803	81 3/9
804	81 4/9
805	81 5/9
806	81 6/9
807	A
808	81 7/9
809	81 8/9
810	82 0/9
811	82 1/9
812	82 2/9
813	82 3/9
814	82 4/9
815	A
816	82 5/9
817	82 6/9
818	82 7/9
819	82 8/9
820	83 0/9
821	83 1/9
822	83 2/9
823	A
