1001/100	7+8
4921	492	5/8
4922	492	6/8
4923	492	7/8
4924	493	0/9
4925	493	1/9
4926	493	2/9
4927	X
4928	493	3/9
4929	493	4/9
4930	493	5/9
4931	493	6/9
4932	493	7/9
4933	493	8/9
4934	494	0/9
4935	X
4936	494	1/9
4937	494	2/9
4938	494	3/9
4939	494	4/9
4940	494	5/9
4941	494	6/9
4942	494	7/9
4943	X
4944	494	8/9
4945	495	0/9
4946	495	1/9
4947	495	2/9
4948	495	3/9
4949	495	4/9
4950	495	5/9
4951	X
4952	495	6/9
4953	495	7/9
4954	495	8/9
4955	496	0/8
4956	496	1/8
4957	496	2/8
4958	496	3/8
4959	X
4960	496	4/8
4961	496	5/8
4962	496	6/8
4963	496	7/8
4964	497	0/9
4965	497	1/9
4966	497	2/9
4967	X
4968	497	3/9
4969	497	4/9
4970	497	5/9
4971	497	6/9
4972	497	7/9
4973	497	8/9
4974	498	0/9
4975	X
4976	498	1/9
4977	498	2/9
4978	498	3/9
4979	498	4/9
4980	498	5/9
4981	498	6/9
4982	498	7/9
4983	X
4984	498	8/9
4985	499	0/9
4986	499	1/9
4987	499	2/9
4988	499	3/9
4989	499	4/9
4990	499	5/9
4991	X
4992	499	6/9
4993	499	7/9
4994	499	8/9
4995	500	0/9
4996	500	1/9
4997	500	2/9
4998	500	3/9
4999	X
5000	500	4/9
5001	500	5/9
5002	500	6/9
5003	500	7/9
5004	500	8/9
5005	501	0/9
5006	501	1/9
5007	X
5008	501	2/9
5009	501	3/9
5010	501	4/9
5011	501	5/9
5012	501	6/9
5013	501	7/9
5014	501	8/9
5015	X
5016	502	0/9
5017	502	1/9
5018	502	2/9
5019	502	3/9
5020	502	4/9
5021	502	5/9
5022	502	6/9
5023	X
5024	502	7/9
5025	502	8/9
5026	503	0/9
5027	503	1/9
5028	503	2/9
5029	503	3/9
5030	503	4/9
5031	X
5032	503	5/9
5033	503	6/9
5034	503	7/9
5035	503	8/9
5036	504	0/8
5037	504	1/8
5038	504	2/8
5039	X
5040	504	3/8
5041	504	4/8
5042	504	5/8
5043	504	6/8
5044	504	7/8
5045	505	0/9
5046	505	1/9
5047	X
5048	505	2/9
5049	505	3/9
5050	505	4/9
5051	505	5/9
5052	505	6/9
5053	505	7/9
5054	505	8/9
5055	X
5056	506	0/9
5057	506	1/9
5058	506	2/9
5059	506	3/9
5060	506	4/9
5061	506	5/9
5062	506	6/9
5063	X
5064	506	7/9
5065	506	8/9
5066	507	0/9
5067	507	1/9
5068	507	2/9
5069	507	3/9
5070	507	4/9
5071	X
5072	507	5/9
5073	507	6/9
5074	507	7/9
5075	507	8/9
5076	508	0/8
5077	508	1/8
5078	508	2/8
5079	X
5080	508	3/8
5081	508	4/8
5082	508	5/8
5083	508	6/8
5084	508	7/8
5085	509	0/9
5086	509	1/9
5087	X
5088	509	2/9
5089	509	3/9
5090	509	4/9
5091	509	5/9
5092	509	6/9
5093	509	7/9
5094	509	8/9
5095	X
5096	510	0/9
5097	510	1/9
5098	510	2/9
5099	510	3/9
5100	510	4/9
5101	510	5/9
5102	510	6/9
5103	X
5104	510	7/9
5105	510	8/9
5106	511	0/9
5107	511	1/9
5108	511	2/9
5109	511	3/9
5110	511	4/9
5111	X
5112	511	5/9
5113	511	6/9
5114	511	7/9
5115	511	8/9
5116	512	0/8
5117	512	1/8
5118	512	2/8
5119	X
5120	512	3/8
5121	512	4/8
5122	512	5/8
5123	512	6/8
5124	512	7/8
5125	513	0/9
5126	513	1/9
5127	X
5128	513	2/9
5129	513	3/9
5130	513	4/9
5131	513	5/9
5132	513	6/9
5133	513	7/9
5134	513	8/9
5135	X
5136	514	0/9
5137	514	1/9
5138	514	2/9
5139	514	3/9
5140	514	4/9
5141	514	5/9
5142	514	6/9
5143	X
5144	514	7/9
5145	514	8/9
5146	515	0/9
5147	515	1/9
5148	515	2/9
5149	515	3/9
5150	515	4/9
5151	X
5152	515	5/9
5153	515	6/9
5154	515	7/9
5155	515	8/9
5156	516	0/8
5157	516	1/8
5158	516	2/8
5159	X
5160	516	3/8
5161	516	4/8
5162	516	5/8
5163	516	6/8
5164	516	7/8
5165	517	0/9
5166	517	1/9
5167	X
5168	517	2/9
5169	517	3/9
5170	517	4/9
5171	517	5/9
5172	517	6/9
5173	517	7/9
5174	517	8/9
5175	X
5176	518	0/9
5177	518	1/9
5178	518	2/9
5179	518	3/9
5180	518	4/9
5181	518	5/9
5182	518	6/9
5183	X
5184	518	7/9
5185	518	8/9
5186	519	0/9
5187	519	1/9
5188	519	2/9
5189	519	3/9
5190	519	4/9
5191	X
5192	519	5/9
5193	519	6/9
5194	519	7/9
5195	519	8/9
5196	520	0/8
5197	520	1/8
5198	520	2/8
5199	X
5200	520	3/8
5201	520	4/8
5202	520	5/8
5203	520	6/8
5204	520	7/8
5205	521	0/9
5206	521	1/9
5207	X
5208	521	2/9
5209	521	3/9
5210	521	4/9
5211	521	5/9
5212	521	6/9
5213	521	7/9
5214	521	8/9
5215	X
5216	522	0/9
5217	522	1/9
5218	522	2/9
5219	522	3/9
5220	522	4/9
5221	522	5/9
5222	522	6/9
5223	X
5224	522	7/9
5225	522	8/9
5226	523	0/9
5227	523	1/9
5228	523	2/9
5229	523	3/9
5230	523	4/9
5231	X
5232	523	5/9
5233	523	6/9
5234	523	7/9
5235	523	8/9
5236	524	0/8
5237	524	1/8
5238	524	2/8
5239	X
5240	524	3/8
5241	524	4/8
5242	524	5/8
5243	524	6/8
5244	524	7/8
5245	525	0/9
5246	525	1/9
5247	X
5248	525	2/9
5249	525	3/9
5250	525	4/9
5251	525	5/9
5252	525	6/9
5253	525	7/9
5254	525	8/9
5255	X
5256	526	0/9
5257	526	1/9
5258	526	2/9
5259	526	3/9
5260	526	4/9
5261	526	5/9
5262	526	6/9
5263	X
5264	526	7/9
5265	526	8/9
5266	527	0/9
5267	527	1/9
5268	527	2/9
5269	527	3/9
5270	527	4/9
5271	X
5272	527	5/9
5273	527	6/9
5274	527	7/9
5275	527	8/9
5276	528	0/8
5277	528	1/8
5278	528	2/8
5279	X
5280	528	3/8
5281	528	4/8
5282	528	5/8
5283	528	6/8
5284	528	7/8
5285	529	0/9
5286	529	1/9
5287	X
5288	529	2/9
5289	529	3/9
5290	529	4/9
5291	529	5/9
5292	529	6/9
5293	529	7/9
5294	529	8/9
5295	X
5296	530	0/9
5297	530	1/9
5298	530	2/9
5299	530	3/9
5300	530	4/9
5301	530	5/9
5302	530	6/9
5303	X
5304	530	7/9
5305	530	8/9
5306	531	0/9
5307	531	1/9
5308	531	2/9
5309	531	3/9
5310	531	4/9
5311	X
5312	531	5/9
5313	531	6/9
5314	531	7/9
5315	531	8/9
5316	532	0/8
5317	532	1/8
5318	532	2/8
5319	X
5320	532	3/8
5321	532	4/8
5322	532	5/8
5323	532	6/8
5324	532	7/8
5325	533	0/9
5326	533	1/9
5327	X
5328	533	2/9
5329	533	3/9
5330	533	4/9
5331	533	5/9
5332	533	6/9
5333	533	7/9
5334	533	8/9
5335	X
5336	534	0/9
5337	534	1/9
5338	534	2/9
5339	534	3/9
5340	534	4/9
5341	534	5/9
5342	534	6/9
5343	X
5344	534	7/9
5345	534	8/9
5346	535	0/9
5347	535	1/9
5348	535	2/9
5349	535	3/9
5350	535	4/9
5351	X
5352	535	5/9
5353	535	6/9
5354	535	7/9
5355	535	8/9
5356	536	0/8
5357	536	1/8
5358	536	2/8
5359	X
5360	536	3/8
5361	536	4/8
5362	536	5/8
5363	536	6/8
5364	536	7/8
5365	537	0/9
5366	537	1/9
5367	X
5368	537	2/9
5369	537	3/9
5370	537	4/9
5371	537	5/9
5372	537	6/9
5373	537	7/9
5374	537	8/9
5375	X
5376	538	0/9
5377	538	1/9
5378	538	2/9
5379	538	3/9
5380	538	4/9
5381	538	5/9
5382	538	6/9
5383	X
5384	538	7/9
5385	538	8/9
5386	539	0/9
5387	539	1/9
5388	539	2/9
5389	539	3/9
5390	539	4/9
5391	X
5392	539	5/9
5393	539	6/9
5394	539	7/9
5395	539	8/9
5396	540	0/8
5397	540	1/8
5398	540	2/8
5399	X
5400	540	3/8
5401	540	4/8
5402	540	5/8
5403	540	6/8
5404	540	7/8
5405	541	0/9
5406	541	1/9
5407	X
5408	541	2/9
5409	541	3/9
5410	541	4/9
5411	541	5/9
5412	541	6/9
5413	541	7/9
5414	541	8/9
5415	X
5416	542	0/9
5417	542	1/9
5418	542	2/9
5419	542	3/9
5420	542	4/9
5421	542	5/9
5422	542	6/9
5423	X
5424	542	7/9
5425	542	8/9
5426	543	0/9
5427	543	1/9
5428	543	2/9
5429	543	3/9
5430	543	4/9
5431	X
5432	543	5/9
5433	543	6/9
5434	543	7/9
5435	543	8/9
5436	544	0/8
5437	544	1/8
5438	544	2/8
5439	X
5440	544	3/8
5441	544	4/8
5442	544	5/8
5443	544	6/8
5444	544	7/8
5445	545	0/9
5446	545	1/9
5447	X
5448	545	2/9
5449	545	3/9
5450	545	4/9
5451	545	5/9
5452	545	6/9
5453	545	7/9
5454	545	8/9
5455	X
5456	546	0/9
5457	546	1/9
5458	546	2/9
5459	546	3/9
5460	546	4/9
5461	546	5/9
5462	546	6/9
5463	X
5464	546	7/9
5465	546	8/9
5466	547	0/9
5467	547	1/9
5468	547	2/9
5469	547	3/9
5470	547	4/9
5471	X
5472	547	5/9
5473	547	6/9
5474	547	7/9
5475	547	8/9
5476	548	0/8
5477	548	1/8
5478	548	2/8
5479	X
5480	548	3/8
5481	548	4/8
5482	548	5/8
5483	548	6/8
5484	548	7/8
5485	549	0/9
5486	549	1/9
5487	X
5488	549	2/9
5489	549	3/9
5490	549	4/9
5491	549	5/9
5492	549	6/9
5493	549	7/9
5494	549	8/9
5495	X
5496	550	0/9
5497	550	1/9
5498	550	2/9
5499	550	3/9
5500	550	4/9
5501	550	5/9
5502	550	6/9
5503	X
5504	550	7/9
5505	550	8/9
5506	551	0/9
5507	551	1/9
5508	551	2/9
5509	551	3/9
5510	551	4/9
5511	X
5512	551	5/9
5513	551	6/9
5514	551	7/9
5515	551	8/9
5516	552	0/8
5517	552	1/8
5518	552	2/8
5519	X
5520	552	3/8
5521	552	4/8
5522	552	5/8
5523	552	6/8
5524	552	7/8
5525	553	0/9
5526	553	1/9
5527	X
5528	553	2/9
5529	553	3/9
5530	553	4/9
5531	553	5/9
5532	553	6/9
5533	553	7/9
5534	553	8/9
5535	X
5536	554	0/9
5537	554	1/9
5538	554	2/9
5539	554	3/9
5540	554	4/9
5541	554	5/9
5542	554	6/9
5543	X
5544	554	7/9
5545	554	8/9
5546	555	0/9
5547	555	1/9
5548	555	2/9
5549	555	3/9
5550	555	4/9
5551	X
5552	555	5/9
5553	555	6/9
5554	555	7/9
5555	555	8/9
5556	556	0/8
5557	556	1/8
5558	556	2/8
5559	X
5560	556	3/8
5561	556	4/8
5562	556	5/8
5563	556	6/8
5564	556	7/8
5565	557	0/9
5566	557	1/9
5567	X
5568	557	2/9
5569	557	3/9
5570	557	4/9
5571	557	5/9
5572	557	6/9
5573	557	7/9
5574	557	8/9
5575	X
5576	558	0/9
5577	558	1/9
5578	558	2/9
5579	558	3/9
5580	558	4/9
5581	558	5/9
5582	558	6/9
5583	X
5584	558	7/9
5585	558	8/9
5586	559	0/9
5587	559	1/9
5588	559	2/9
5589	559	3/9
5590	559	4/9
5591	X
5592	559	5/9
5593	559	6/9
5594	559	7/9
5595	559	8/9
5596	560	0/8
5597	560	1/8
5598	560	2/8
5599	X
5600	560	3/8
5601	560	4/8
5602	560	5/8
5603	560	6/8
5604	560	7/8
5605	561	0/9
5606	561	1/9
5607	X
5608	561	2/9
5609	561	3/9
5610	561	4/9
5611	561	5/9
5612	561	6/9
5613	561	7/9
5614	561	8/9
5615	X
5616	562	0/9
5617	562	1/9
5618	562	2/9
5619	562	3/9
5620	562	4/9
5621	562	5/9
5622	562	6/9
5623	X
5624	562	7/9
5625	562	8/9
5626	563	0/9
5627	563	1/9
5628	563	2/9
5629	563	3/9
5630	563	4/9
5631	X
5632	563	5/9
5633	563	6/9
5634	563	7/9
5635	563	8/9
5636	564	0/8
5637	564	1/8
5638	564	2/8
5639	X
5640	564	3/8
5641	564	4/8
5642	564	5/8
5643	564	6/8
5644	564	7/8
5645	565	0/9
5646	565	1/9
5647	X
5648	565	2/9
5649	565	3/9
5650	565	4/9
5651	565	5/9
5652	565	6/9
5653	565	7/9
5654	565	8/9
5655	X
5656	566	0/9
5657	566	1/9
5658	566	2/9
5659	566	3/9
5660	566	4/9
5661	566	5/9
5662	566	6/9
5663	X
5664	566	7/9
5665	566	8/9
5666	567	0/9
5667	567	1/9
5668	567	2/9
5669	567	3/9
5670	567	4/9
5671	X
5672	567	5/9
5673	567	6/9
5674	567	7/9
5675	567	8/9
5676	568	0/8
5677	568	1/8
5678	568	2/8
5679	X
5680	568	3/8
5681	568	4/8
5682	568	5/8
5683	568	6/8
5684	568	7/8
5685	569	0/9
5686	569	1/9
5687	X
5688	569	2/9
5689	569	3/9
5690	569	4/9
5691	569	5/9
5692	569	6/9
5693	569	7/9
5694	569	8/9
5695	X
5696	570	0/9
5697	570	1/9
5698	570	2/9
5699	570	3/9
5700	570	4/9
5701	570	5/9
5702	570	6/9
5703	X
5704	570	7/9
5705	570	8/9
5706	571	0/9
5707	571	1/9
5708	571	2/9
5709	571	3/9
5710	571	4/9
5711	X
5712	571	5/9
5713	571	6/9
5714	571	7/9
5715	571	8/9
5716	572	0/8
5717	572	1/8
5718	572	2/8
5719	X
5720	572	3/8
5721	572	4/8
5722	572	5/8
5723	572	6/8
5724	572	7/8
5725	573	0/9
5726	573	1/9
5727	X
5728	573	2/9
5729	573	3/9
5730	573	4/9
5731	573	5/9
5732	573	6/9
5733	573	7/9
5734	573	8/9
5735	X
5736	574	0/9
5737	574	1/9
5738	574	2/9
5739	574	3/9
5740	574	4/9
5741	574	5/9
5742	574	6/9
5743	X
5744	574	7/9
5745	574	8/9
5746	575	0/9
5747	575	1/9
5748	575	2/9
5749	575	3/9
5750	575	4/9
5751	X
5752	575	5/9
5753	575	6/9
5754	575	7/9
5755	575	8/9
5756	576	0/8
5757	576	1/8
5758	576	2/8
5759	X
5760	576	3/8
5761	576	4/8
5762	576	5/8
5763	576	6/8
5764	576	7/8
5765	577	0/9
5766	577	1/9
5767	X
5768	577	2/9
5769	577	3/9
5770	577	4/9
5771	577	5/9
5772	577	6/9
5773	577	7/9
5774	577	8/9
5775	X
5776	578	0/9
5777	578	1/9
5778	578	2/9
5779	578	3/9
5780	578	4/9
5781	578	5/9
5782	578	6/9
5783	X
5784	578	7/9
5785	578	8/9
5786	579	0/9
5787	579	1/9
5788	579	2/9
5789	579	3/9
5790	579	4/9
5791	X
5792	579	5/9
5793	579	6/9
5794	579	7/9
5795	579	8/9
5796	580	0/8
5797	580	1/8
5798	580	2/8
5799	X
5800	580	3/8
5801	580	4/8
5802	580	5/8
5803	580	6/8
5804	580	7/8
5805	581	0/9
5806	581	1/9
5807	X
5808	581	2/9
5809	581	3/9
5810	581	4/9
5811	581	5/9
5812	581	6/9
5813	581	7/9
5814	581	8/9
5815	X
5816	582	0/9
5817	582	1/9
5818	582	2/9
5819	582	3/9
5820	582	4/9
5821	582	5/9
5822	582	6/9
5823	X
5824	582	7/9
5825	582	8/9
5826	583	0/9
5827	583	1/9
5828	583	2/9
5829	583	3/9
5830	583	4/9
5831	X
5832	583	5/9
5833	583	6/9
5834	583	7/9
5835	583	8/9
5836	584	0/8
5837	584	1/8
5838	584	2/8
5839	X
5840	584	3/8
5841	584	4/8
5842	584	5/8
5843	584	6/8
5844	584	7/8
5845	585	0/9
5846	585	1/9
5847	X
5848	585	2/9
5849	585	3/9
5850	585	4/9
5851	585	5/9
5852	585	6/9
5853	585	7/9
5854	585	8/9
5855	X
5856	586	0/9
5857	586	1/9
5858	586	2/9
5859	586	3/9
5860	586	4/9
5861	586	5/9
5862	586	6/9
5863	X
5864	586	7/9
5865	586	8/9
5866	587	0/9
5867	587	1/9
5868	587	2/9
5869	587	3/9
5870	587	4/9
5871	X
5872	587	5/9
5873	587	6/9
5874	587	7/9
5875	587	8/9
5876	588	0/8
5877	588	1/8
5878	588	2/8
5879	X
5880	588	3/8
5881	588	4/8
5882	588	5/8
5883	588	6/8
5884	588	7/8
5885	589	0/9
5886	589	1/9
5887	X
5888	589	2/9
5889	589	3/9
5890	589	4/9
5891	589	5/9
5892	589	6/9
5893	589	7/9
5894	589	8/9
5895	X
5896	590	0/9
5897	590	1/9
5898	590	2/9
5899	590	3/9
5900	590	4/9
5901	590	5/9
5902	590	6/9
5903	X
5904	590	7/9
5905	590	8/9
5906	591	0/9
5907	591	1/9
5908	591	2/9
5909	591	3/9
5910	591	4/9
5911	X
5912	591	5/9
5913	591	6/9
5914	591	7/9
5915	591	8/9
5916	592	0/8
5917	592	1/8
5918	592	2/8
5919	X
5920	592	3/8
5921	592	4/8
5922	592	5/8
5923	592	6/8
5924	592	7/8
5925	593	0/9
5926	593	1/9
5927	X
5928	593	2/9
5929	593	3/9
5930	593	4/9
5931	593	5/9
5932	593	6/9
5933	593	7/9
5934	593	8/9
5935	X
5936	594	0/9
5937	594	1/9
5938	594	2/9
5939	594	3/9
5940	594	4/9
5941	594	5/9
5942	594	6/9
5943	X
5944	594	7/9
5945	594	8/9
5946	595	0/9
5947	595	1/9
5948	595	2/9
5949	595	3/9
5950	595	4/9
5951	X
5952	595	5/9
5953	595	6/9
5954	595	7/9
5955	595	8/9
5956	596	0/8
5957	596	1/8
5958	596	2/8
5959	X
5960	596	3/8
5961	596	4/8
5962	596	5/8
5963	596	6/8
5964	596	7/8
5965	597	0/9
5966	597	1/9
5967	X
5968	597	2/9
5969	597	3/9
5970	597	4/9
5971	597	5/9
5972	597	6/9
5973	597	7/9
5974	597	8/9
5975	X
5976	598	0/9
5977	598	1/9
5978	598	2/9
5979	598	3/9
5980	598	4/9
5981	598	5/9
5982	598	6/9
5983	X
5984	598	7/9
5985	598	8/9
5986	599	0/9
5987	599	1/9
5988	599	2/9
5989	599	3/9
5990	599	4/9
5991	X
5992	599	5/9
5993	599	6/9
5994	599	7/9
5995	599	8/9
5996	600	0/9
5997	600	1/9
5998	600	2/9
5999	X
6000	600	3/9
6001	600	4/9
6002	600	5/9
6003	600	6/9
6004	600	7/9
6005	600	8/9
6006	601	0/9
6007	X
6008	601	1/9
6009	601	2/9
6010	601	3/9
6011	601	4/9
6012	601	5/9
6013	601	6/9
6014	601	7/9
6015	X
6016	601	8/9
6017	602	0/9
6018	602	1/9
6019	602	2/9
6020	602	3/9
6021	602	4/9
6022	602	5/9
6023	X
6024	602	6/9
6025	602	7/9
6026	602	8/9
6027	603	0/9
6028	603	1/9
6029	603	2/9
6030	603	3/9
6031	X
6032	603	4/9
6033	603	5/9
6034	603	6/9
6035	603	7/9
6036	603	8/9
6037	604	0/8
6038	604	1/8
6039	X
6040	604	2/8
6041	604	3/8
6042	604	4/8
6043	604	5/8
6044	604	6/8
6045	604	7/8
6046	605	0/9
6047	X
6048	605	1/9
6049	605	2/9
6050	605	3/9
6051	605	4/9
6052	605	5/9
6053	605	6/9
6054	605	7/9
6055	X
6056	605	8/9
6057	606	0/9
6058	606	1/9
6059	606	2/9
6060	606	3/9
6061	606	4/9
6062	606	5/9
6063	X
6064	606	6/9
6065	606	7/9
6066	606	8/9
6067	607	0/9
6068	607	1/9
6069	607	2/9
6070	607	3/9
6071	X
6072	607	4/9
6073	607	5/9
6074	607	6/9
6075	607	7/9
6076	607	8/9
6077	608	0/8
6078	608	1/8
6079	X
6080	608	2/8
6081	608	3/8
6082	608	4/8
6083	608	5/8
6084	608	6/8
6085	608	7/8
6086	609	0/9
6087	X
6088	609	1/9
6089	609	2/9
6090	609	3/9
6091	609	4/9
6092	609	5/9
6093	609	6/9
6094	609	7/9
6095	X
6096	609	8/9
6097	610	0/9
6098	610	1/9
6099	610	2/9
6100	610	3/9
6101	610	4/9
6102	610	5/9
6103	X
6104	610	6/9
6105	610	7/9
6106	610	8/9
6107	611	0/9
6108	611	1/9
6109	611	2/9
6110	611	3/9
6111	X
6112	611	4/9
6113	611	5/9
6114	611	6/9
6115	611	7/9
6116	611	8/9
6117	612	0/8
6118	612	1/8
6119	X
6120	612	2/8
6121	612	3/8
6122	612	4/8
6123	612	5/8
6124	612	6/8
6125	612	7/8
6126	613	0/9
6127	X
6128	613	1/9
6129	613	2/9
6130	613	3/9
6131	613	4/9
6132	613	5/9
6133	613	6/9
6134	613	7/9
6135	X
6136	613	8/9
6137	614	0/9
6138	614	1/9
6139	614	2/9
6140	614	3/9
6141	614	4/9
6142	614	5/9
6143	X
6144	614	6/9
6145	614	7/9
6146	614	8/9
6147	615	0/9
6148	615	1/9
6149	615	2/9
6150	615	3/9
6151	X
6152	615	4/9
6153	615	5/9
6154	615	6/9
6155	615	7/9
6156	615	8/9
6157	616	0/8
6158	616	1/8
6159	X
6160	616	2/8
6161	616	3/8
6162	616	4/8
6163	616	5/8
6164	616	6/8
6165	616	7/8
6166	617	0/9
6167	X
6168	617	1/9
6169	617	2/9
6170	617	3/9
6171	617	4/9
6172	617	5/9
6173	617	6/9
6174	617	7/9
6175	X
6176	617	8/9
6177	618	0/9
6178	618	1/9
6179	618	2/9
6180	618	3/9
6181	618	4/9
6182	618	5/9
6183	X
6184	618	6/9
6185	618	7/9
6186	618	8/9
6187	619	0/9
6188	619	1/9
6189	619	2/9
6190	619	3/9
6191	X
6192	619	4/9
6193	619	5/9
6194	619	6/9
6195	619	7/9
6196	619	8/9
6197	620	0/8
6198	620	1/8
6199	X
6200	620	2/8
6201	620	3/8
6202	620	4/8
6203	620	5/8
6204	620	6/8
6205	620	7/8
6206	621	0/9
6207	X
6208	621	1/9
6209	621	2/9
6210	621	3/9
6211	621	4/9
6212	621	5/9
6213	621	6/9
6214	621	7/9
6215	X
6216	621	8/9
6217	622	0/9
6218	622	1/9
6219	622	2/9
6220	622	3/9
6221	622	4/9
6222	622	5/9
6223	X
6224	622	6/9
6225	622	7/9
6226	622	8/9
6227	623	0/9
6228	623	1/9
6229	623	2/9
6230	623	3/9
6231	X
6232	623	4/9
6233	623	5/9
6234	623	6/9
6235	623	7/9
6236	623	8/9
6237	624	0/8
6238	624	1/8
6239	X
6240	624	2/8
6241	624	3/8
6242	624	4/8
6243	624	5/8
6244	624	6/8
6245	624	7/8
6246	625	0/9
6247	X
6248	625	1/9
6249	625	2/9
6250	625	3/9
6251	625	4/9
6252	625	5/9
6253	625	6/9
6254	625	7/9
6255	X
6256	625	8/9
6257	626	0/9
6258	626	1/9
6259	626	2/9
6260	626	3/9
6261	626	4/9
6262	626	5/9
6263	X
6264	626	6/9
6265	626	7/9
6266	626	8/9
6267	627	0/9
6268	627	1/9
6269	627	2/9
6270	627	3/9
6271	X
6272	627	4/9
6273	627	5/9
6274	627	6/9
6275	627	7/9
6276	627	8/9
6277	628	0/8
6278	628	1/8
6279	X
6280	628	2/8
6281	628	3/8
6282	628	4/8
6283	628	5/8
6284	628	6/8
6285	628	7/8
6286	629	0/9
6287	X
6288	629	1/9
6289	629	2/9
6290	629	3/9
6291	629	4/9
6292	629	5/9
6293	629	6/9
6294	629	7/9
6295	X
6296	629	8/9
6297	630	0/9
6298	630	1/9
6299	630	2/9
6300	630	3/9
6301	630	4/9
6302	630	5/9
6303	X
6304	630	6/9
6305	630	7/9
6306	630	8/9
6307	631	0/9
6308	631	1/9
6309	631	2/9
6310	631	3/9
6311	X
6312	631	4/9
6313	631	5/9
6314	631	6/9
6315	631	7/9
6316	631	8/9
6317	632	0/8
6318	632	1/8
6319	X
6320	632	2/8
6321	632	3/8
6322	632	4/8
6323	632	5/8
6324	632	6/8
6325	632	7/8
6326	633	0/9
6327	X
6328	633	1/9
6329	633	2/9
6330	633	3/9
6331	633	4/9
6332	633	5/9
6333	633	6/9
6334	633	7/9
6335	X
6336	633	8/9
6337	634	0/9
6338	634	1/9
6339	634	2/9
6340	634	3/9
6341	634	4/9
6342	634	5/9
6343	X
6344	634	6/9
6345	634	7/9
6346	634	8/9
6347	635	0/9
6348	635	1/9
6349	635	2/9
6350	635	3/9
6351	X
6352	635	4/9
6353	635	5/9
6354	635	6/9
6355	635	7/9
6356	635	8/9
6357	636	0/8
6358	636	1/8
6359	X
6360	636	2/8
6361	636	3/8
6362	636	4/8
6363	636	5/8
6364	636	6/8
6365	636	7/8
6366	637	0/9
6367	X
6368	637	1/9
6369	637	2/9
6370	637	3/9
6371	637	4/9
6372	637	5/9
6373	637	6/9
6374	637	7/9
6375	X
6376	637	8/9
6377	638	0/9
6378	638	1/9
6379	638	2/9
6380	638	3/9
6381	638	4/9
6382	638	5/9
6383	X
6384	638	6/9
6385	638	7/9
6386	638	8/9
6387	639	0/9
6388	639	1/9
6389	639	2/9
6390	639	3/9
6391	X
6392	639	4/9
6393	639	5/9
6394	639	6/9
6395	639	7/9
6396	639	8/9
6397	640	0/8
6398	640	1/8
6399	X
6400	640	2/8
6401	640	3/8
6402	640	4/8
6403	640	5/8
6404	640	6/8
6405	640	7/8
6406	641	0/9
6407	X
6408	641	1/9
6409	641	2/9
6410	641	3/9
6411	641	4/9
6412	641	5/9
6413	641	6/9
6414	641	7/9
6415	X
6416	641	8/9
6417	642	0/9
6418	642	1/9
6419	642	2/9
6420	642	3/9
6421	642	4/9
6422	642	5/9
6423	X
6424	642	6/9
6425	642	7/9
6426	642	8/9
6427	643	0/9
6428	643	1/9
6429	643	2/9
6430	643	3/9
6431	X
6432	643	4/9
6433	643	5/9
6434	643	6/9
6435	643	7/9
6436	643	8/9
6437	644	0/8
6438	644	1/8
6439	X
6440	644	2/8
6441	644	3/8
6442	644	4/8
6443	644	5/8
6444	644	6/8
6445	644	7/8
6446	645	0/9
6447	X
6448	645	1/9
6449	645	2/9
6450	645	3/9
6451	645	4/9
6452	645	5/9
6453	645	6/9
6454	645	7/9
6455	X
6456	645	8/9
6457	646	0/9
6458	646	1/9
6459	646	2/9
6460	646	3/9
6461	646	4/9
6462	646	5/9
6463	X
6464	646	6/9
6465	646	7/9
6466	646	8/9
6467	647	0/9
6468	647	1/9
6469	647	2/9
6470	647	3/9
6471	X
6472	647	4/9
6473	647	5/9
6474	647	6/9
6475	647	7/9
6476	647	8/9
6477	648	0/8
6478	648	1/8
6479	X
6480	648	2/8
6481	648	3/8
6482	648	4/8
6483	648	5/8
6484	648	6/8
6485	648	7/8
6486	649	0/9
6487	X
6488	649	1/9
6489	649	2/9
6490	649	3/9
6491	649	4/9
6492	649	5/9
6493	649	6/9
6494	649	7/9
6495	X
6496	649	8/9
6497	650	0/9
6498	650	1/9
6499	650	2/9
6500	650	3/9
6501	650	4/9
6502	650	5/9
6503	X
6504	650	6/9
6505	650	7/9
6506	650	8/9
6507	651	0/9
6508	651	1/9
6509	651	2/9
6510	651	3/9
6511	X
6512	651	4/9
6513	651	5/9
6514	651	6/9
6515	651	7/9
6516	651	8/9
6517	652	0/8
6518	652	1/8
6519	X
6520	652	2/8
6521	652	3/8
6522	652	4/8
6523	652	5/8
6524	652	6/8
6525	652	7/8
6526	653	0/9
6527	X
6528	653	1/9
6529	653	2/9
6530	653	3/9
6531	653	4/9
6532	653	5/9
6533	653	6/9
6534	653	7/9
6535	X
6536	653	8/9
6537	654	0/9
6538	654	1/9
6539	654	2/9
6540	654	3/9
6541	654	4/9
6542	654	5/9
6543	X
6544	654	6/9
6545	654	7/9
6546	654	8/9
6547	655	0/9
6548	655	1/9
6549	655	2/9
6550	655	3/9
6551	X
6552	655	4/9
6553	655	5/9
6554	655	6/9
6555	655	7/9
6556	655	8/9
6557	656	0/8
6558	656	1/8
6559	X
6560	656	2/8
6561	656	3/8
6562	656	4/8
6563	656	5/8
6564	656	6/8
6565	656	7/8
