1001/100	7+8
502	51	2/9
503	X
504	51	3/9
505	51	4/9
506	51	5/9
507	51	6/9
508	51	7/9
509	51	8/9
510	52	0/8
511	X
512	52	1/8
513	52	2/8
514	52	3/8
515	52	4/8
516	52	5/8
517	52	6/8
518	52	7/8
519	X
520	53	0/9
521	53	1/9
522	53	2/9
523	53	3/9
524	53	4/9
525	53	5/9
526	53	6/9
527	X
528	53	7/9
529	53	8/9
530	54	0/9
531	54	1/9
532	54	2/9
533	54	3/9
534	54	4/9
535	X
536	54	5/9
537	54	6/9
538	54	7/9
539	54	8/9
540	55	0/9
541	55	1/9
542	55	2/9
543	X
544	55	3/9
545	55	4/9
546	55	5/9
547	55	6/9
548	55	7/9
549	55	8/9
550	56	0/8
551	X
552	56	1/8
553	56	2/8
554	56	3/8
555	56	4/8
556	56	5/8
557	56	6/8
558	56	7/8
559	X
560	57	0/9
561	57	1/9
562	57	2/9
563	57	3/9
564	57	4/9
565	57	5/9
566	57	6/9
567	X
568	57	7/9
569	57	8/9
570	58	0/9
571	58	1/9
572	58	2/9
573	58	3/9
574	58	4/9
575	X
576	58	5/9
577	58	6/9
578	58	7/9
579	58	8/9
580	59	0/9
581	59	1/9
582	59	2/9
583	X
584	59	3/9
585	59	4/9
586	59	5/9
587	59	6/9
588	59	7/9
589	59	8/9
590	60	0/8
591	X
592	60	1/8
593	60	2/8
594	60	3/8
595	60	4/8
596	60	5/8
597	60	6/8
598	60	7/8
599	X
600	61	0/9
601	61	1/9
602	61	2/9
603	61	3/9
604	61	4/9
605	61	5/9
606	61	6/9
607	X
608	61	7/9
609	61	8/9
610	62	0/9
611	62	1/9
612	62	2/9
613	62	3/9
614	62	4/9
615	X
616	62	5/9
617	62	6/9
618	62	7/9
619	62	8/9
620	63	0/9
621	63	1/9
622	63	2/9
623	X
624	63	3/9
625	63	4/9
626	63	5/9
627	63	6/9
628	63	7/9
629	63	8/9
630	64	0/8
631	X
632	64	1/8
633	64	2/8
634	64	3/8
635	64	4/8
636	64	5/8
637	64	6/8
638	64	7/8
639	X
640	65	0/9
641	65	1/9
642	65	2/9
643	65	3/9
644	65	4/9
645	65	5/9
646	65	6/9
647	X
648	65	7/9
649	65	8/9
650	66	0/9
651	66	1/9
652	66	2/9
653	66	3/9
654	66	4/9
655	X
656	66	5/9
657	66	6/9
658	66	7/9
659	66	8/9
660	67	0/9
661	67	1/9
662	67	2/9
663	X
664	67	3/9
665	67	4/9
666	67	5/9
667	67	6/9
668	67	7/9
669	67	8/9
670	68	0/8
671	X
672	68	1/8
673	68	2/8
674	68	3/8
675	68	4/8
676	68	5/8
677	68	6/8
678	68	7/8
679	X
680	69	0/9
681	69	1/9
682	69	2/9
683	69	3/9
684	69	4/9
685	69	5/9
686	69	6/9
687	X
688	69	7/9
689	69	8/9
690	70	0/9
691	70	1/9
692	70	2/9
693	70	3/9
694	70	4/9
695	X
696	70	5/9
697	70	6/9
698	70	7/9
699	70	8/9
700	71	0/9
701	71	1/9
702	71	2/9
703	X
704	71	3/9
705	71	4/9
706	71	5/9
707	71	6/9
708	71	7/9
709	71	8/9
710	72	0/8
711	X
712	72	1/8
713	72	2/8
714	72	3/8
715	72	4/8
716	72	5/8
717	72	6/8
718	72	7/8
719	X
720	73	0/9
721	73	1/9
722	73	2/9
723	73	3/9
724	73	4/9
725	73	5/9
726	73	6/9
727	X
728	73	7/9
729	73	8/9
730	74	0/9
731	74	1/9
732	74	2/9
733	74	3/9
734	74	4/9
735	X
736	74	5/9
737	74	6/9
738	74	7/9
739	74	8/9
740	75	0/9
741	75	1/9
742	75	2/9
743	X
744	75	3/9
745	75	4/9
746	75	5/9
747	75	6/9
748	75	7/9
749	75	8/9
750	76	0/8
751	X
752	76	1/8
753	76	2/8
754	76	3/8
755	76	4/8
756	76	5/8
757	76	6/8
758	76	7/8
759	X
760	77	0/9
761	77	1/9
762	77	2/9
763	77	3/9
764	77	4/9
765	77	5/9
766	77	6/9
767	X
768	77	7/9
769	77	8/9
770	78	0/9
771	78	1/9
772	78	2/9
773	78	3/9
774	78	4/9
775	X
776	78	5/9
777	78	6/9
778	78	7/9
779	78	8/9
780	79	0/9
781	79	1/9
782	79	2/9
783	X
784	79	3/9
785	79	4/9
786	79	5/9
787	79	6/9
788	79	7/9
789	79	8/9
790	80	0/8
791	X
792	80	1/8
793	80	2/8
794	80	3/8
795	80	4/8
796	80	5/8
797	80	6/8
798	80	7/8
799	X
800	81	0/9
801	81	1/9
802	81	2/9
803	81	3/9
804	81	4/9
805	81	5/9
806	81	6/9
807	X
808	81	7/9
809	81	8/9
810	82	0/9
811	82	1/9
812	82	2/9
813	82	3/9
814	82	4/9
815	X
816	82	5/9
817	82	6/9
818	82	7/9
819	82	8/9
820	83	0/9
821	83	1/9
822	83	2/9
823	X
824	83	3/9
825	83	4/9
826	83	5/9
827	83	6/9
828	83	7/9
829	83	8/9
830	84	0/8
831	X
832	84	1/8
833	84	2/8
834	84	3/8
835	84	4/8
836	84	5/8
837	84	6/8
838	84	7/8
839	X
840	85	0/9
841	85	1/9
842	85	2/9
843	85	3/9
844	85	4/9
845	85	5/9
846	85	6/9
847	X
848	85	7/9
849	85	8/9
850	86	0/9
851	86	1/9
852	86	2/9
853	86	3/9
854	86	4/9
855	X
856	86	5/9
857	86	6/9
858	86	7/9
859	86	8/9
860	87	0/9
861	87	1/9
862	87	2/9
863	X
864	87	3/9
865	87	4/9
866	87	5/9
867	87	6/9
868	87	7/9
869	87	8/9
870	88	0/8
871	X
872	88	1/8
873	88	2/8
874	88	3/8
875	88	4/8
876	88	5/8
877	88	6/8
878	88	7/8
879	X
880	89	0/9
881	89	1/9
882	89	2/9
883	89	3/9
884	89	4/9
885	89	5/9
886	89	6/9
887	X
888	89	7/9
889	89	8/9
890	90	0/9
891	90	1/9
892	90	2/9
893	90	3/9
894	90	4/9
895	X
896	90	5/9
897	90	6/9
898	90	7/9
899	90	8/9
900	91	0/9
901	91	1/9
902	91	2/9
903	X
904	91	3/9
905	91	4/9
906	91	5/9
907	91	6/9
908	91	7/9
909	91	8/9
910	92	0/8
911	X
912	92	1/8
913	92	2/8
914	92	3/8
915	92	4/8
916	92	5/8
917	92	6/8
918	92	7/8
919	X
920	93	0/9
921	93	1/9
922	93	2/9
923	93	3/9
924	93	4/9
925	93	5/9
926	93	6/9
927	X
928	93	7/9
929	93	8/9
930	94	0/9
931	94	1/9
932	94	2/9
933	94	3/9
934	94	4/9
935	X
936	94	5/9
937	94	6/9
938	94	7/9
939	94	8/9
940	95	0/9
941	95	1/9
942	95	2/9
943	X
944	95	3/9
945	95	4/9
946	95	5/9
947	95	6/9
948	95	7/9
949	95	8/9
950	96	0/8
951	X
952	96	1/8
953	96	2/8
954	96	3/8
955	96	4/8
956	96	5/8
957	96	6/8
958	96	7/8
959	X
960	97	0/9
961	97	1/9
962	97	2/9
963	97	3/9
964	97	4/9
965	97	5/9
966	97	6/9
967	X
968	97	7/9
969	97	8/9
970	98	0/9
971	98	1/9
972	98	2/9
973	98	3/9
974	98	4/9
975	X
976	98	5/9
977	98	6/9
978	98	7/9
979	98	8/9
980	99	0/9
981	99	1/9
982	99	2/9
983	X
984	99	3/9
985	99	4/9
986	99	5/9
987	99	6/9
988	99	7/9
989	99	8/9
990	100	0/8
991	X
992	100	1/8
993	100	2/8
994	100	3/8
995	100	4/8
996	100	5/8
997	100	6/8
998	100	7/8
999	X
1000	101	0/10
1001	101	1/10
1002	101	2/10
1003	101	3/10
1004	101	4/10
1005	101	5/10
1006	101	6/10
1007	X
1008	101	7/10
1009	101	8/10
1010	101	9/10
1011	102	0/9
1012	102	1/9
1013	102	2/9
1014	102	3/9
1015	X
1016	102	4/9
1017	102	5/9
1018	102	6/9
1019	102	7/9
1020	102	8/9
1021	103	0/9
1022	103	1/9
1023	X
1024	103	2/9
1025	103	3/9
1026	103	4/9
1027	103	5/9
1028	103	6/9
1029	103	7/9
1030	103	8/9
1031	X
1032	104	0/8
1033	104	1/8
1034	104	2/8
1035	104	3/8
1036	104	4/8
1037	104	5/8
1038	104	6/8
1039	X
1040	104	7/8
1041	105	0/9
1042	105	1/9
1043	105	2/9
1044	105	3/9
1045	105	4/9
1046	105	5/9
1047	X
1048	105	6/9
1049	105	7/9
1050	105	8/9
1051	106	0/9
1052	106	1/9
1053	106	2/9
1054	106	3/9
1055	X
1056	106	4/9
1057	106	5/9
1058	106	6/9
1059	106	7/9
1060	106	8/9
1061	107	0/9
1062	107	1/9
1063	X
1064	107	2/9
1065	107	3/9
1066	107	4/9
1067	107	5/9
1068	107	6/9
1069	107	7/9
1070	107	8/9
1071	X
1072	108	0/8
1073	108	1/8
1074	108	2/8
1075	108	3/8
1076	108	4/8
1077	108	5/8
1078	108	6/8
1079	X
1080	108	7/8
1081	109	0/9
1082	109	1/9
1083	109	2/9
1084	109	3/9
1085	109	4/9
1086	109	5/9
1087	X
1088	109	6/9
1089	109	7/9
1090	109	8/9
1091	110	0/9
1092	110	1/9
1093	110	2/9
1094	110	3/9
1095	X
1096	110	4/9
1097	110	5/9
1098	110	6/9
1099	110	7/9
1100	110	8/9
1101	111	0/9
1102	111	1/9
1103	X
1104	111	2/9
1105	111	3/9
1106	111	4/9
1107	111	5/9
1108	111	6/9
1109	111	7/9
1110	111	8/9
1111	X
1112	112	0/8
1113	112	1/8
1114	112	2/8
1115	112	3/8
1116	112	4/8
1117	112	5/8
1118	112	6/8
1119	X
1120	112	7/8
1121	113	0/9
1122	113	1/9
1123	113	2/9
1124	113	3/9
1125	113	4/9
1126	113	5/9
1127	X
1128	113	6/9
1129	113	7/9
1130	113	8/9
1131	114	0/9
1132	114	1/9
1133	114	2/9
1134	114	3/9
1135	X
1136	114	4/9
1137	114	5/9
1138	114	6/9
1139	114	7/9
1140	114	8/9
1141	115	0/9
1142	115	1/9
1143	X
1144	115	2/9
1145	115	3/9
1146	115	4/9
1147	115	5/9
1148	115	6/9
1149	115	7/9
1150	115	8/9
1151	X
1152	116	0/8
1153	116	1/8
1154	116	2/8
1155	116	3/8
1156	116	4/8
1157	116	5/8
1158	116	6/8
1159	X
1160	116	7/8
1161	117	0/9
1162	117	1/9
1163	117	2/9
1164	117	3/9
1165	117	4/9
1166	117	5/9
1167	X
1168	117	6/9
1169	117	7/9
1170	117	8/9
1171	118	0/9
1172	118	1/9
1173	118	2/9
1174	118	3/9
1175	X
1176	118	4/9
1177	118	5/9
1178	118	6/9
1179	118	7/9
1180	118	8/9
1181	119	0/9
1182	119	1/9
1183	X
1184	119	2/9
1185	119	3/9
1186	119	4/9
1187	119	5/9
1188	119	6/9
1189	119	7/9
1190	119	8/9
1191	X
1192	120	0/8
1193	120	1/8
1194	120	2/8
1195	120	3/8
1196	120	4/8
1197	120	5/8
1198	120	6/8
1199	X
1200	120	7/8
1201	121	0/9
1202	121	1/9
1203	121	2/9
1204	121	3/9
1205	121	4/9
1206	121	5/9
1207	X
1208	121	6/9
1209	121	7/9
1210	121	8/9
1211	122	0/9
1212	122	1/9
1213	122	2/9
1214	122	3/9
1215	X
1216	122	4/9
1217	122	5/9
1218	122	6/9
1219	122	7/9
1220	122	8/9
1221	123	0/9
1222	123	1/9
1223	X
1224	123	2/9
1225	123	3/9
1226	123	4/9
1227	123	5/9
1228	123	6/9
1229	123	7/9
1230	123	8/9
1231	X
1232	124	0/8
1233	124	1/8
1234	124	2/8
1235	124	3/8
1236	124	4/8
1237	124	5/8
1238	124	6/8
1239	X
1240	124	7/8
1241	125	0/9
1242	125	1/9
1243	125	2/9
1244	125	3/9
1245	125	4/9
1246	125	5/9
1247	X
1248	125	6/9
1249	125	7/9
1250	125	8/9
1251	126	0/9
1252	126	1/9
1253	126	2/9
1254	126	3/9
1255	X
1256	126	4/9
1257	126	5/9
1258	126	6/9
1259	126	7/9
1260	126	8/9
1261	127	0/9
1262	127	1/9
1263	X
1264	127	2/9
1265	127	3/9
1266	127	4/9
1267	127	5/9
1268	127	6/9
1269	127	7/9
1270	127	8/9
1271	X
1272	128	0/8
1273	128	1/8
1274	128	2/8
1275	128	3/8
1276	128	4/8
1277	128	5/8
1278	128	6/8
1279	X
1280	128	7/8
1281	129	0/9
1282	129	1/9
1283	129	2/9
1284	129	3/9
1285	129	4/9
1286	129	5/9
1287	X
1288	129	6/9
1289	129	7/9
1290	129	8/9
1291	130	0/9
1292	130	1/9
1293	130	2/9
1294	130	3/9
1295	X
1296	130	4/9
1297	130	5/9
1298	130	6/9
1299	130	7/9
1300	130	8/9
1301	131	0/9
1302	131	1/9
1303	X
1304	131	2/9
1305	131	3/9
1306	131	4/9
1307	131	5/9
1308	131	6/9
1309	131	7/9
1310	131	8/9
1311	X
1312	132	0/8
1313	132	1/8
1314	132	2/8
1315	132	3/8
1316	132	4/8
1317	132	5/8
1318	132	6/8
1319	X
1320	132	7/8
1321	133	0/9
1322	133	1/9
1323	133	2/9
1324	133	3/9
1325	133	4/9
1326	133	5/9
1327	X
1328	133	6/9
1329	133	7/9
1330	133	8/9
1331	134	0/9
1332	134	1/9
1333	134	2/9
1334	134	3/9
1335	X
1336	134	4/9
1337	134	5/9
1338	134	6/9
1339	134	7/9
1340	134	8/9
1341	135	0/9
1342	135	1/9
1343	X
1344	135	2/9
1345	135	3/9
1346	135	4/9
1347	135	5/9
1348	135	6/9
1349	135	7/9
1350	135	8/9
1351	X
1352	136	0/8
1353	136	1/8
1354	136	2/8
1355	136	3/8
1356	136	4/8
1357	136	5/8
1358	136	6/8
1359	X
1360	136	7/8
1361	137	0/9
1362	137	1/9
1363	137	2/9
1364	137	3/9
1365	137	4/9
1366	137	5/9
1367	X
1368	137	6/9
1369	137	7/9
1370	137	8/9
1371	138	0/9
1372	138	1/9
1373	138	2/9
1374	138	3/9
1375	X
1376	138	4/9
1377	138	5/9
1378	138	6/9
1379	138	7/9
1380	138	8/9
1381	139	0/9
1382	139	1/9
1383	X
1384	139	2/9
1385	139	3/9
1386	139	4/9
1387	139	5/9
1388	139	6/9
1389	139	7/9
1390	139	8/9
1391	X
1392	140	0/8
1393	140	1/8
1394	140	2/8
1395	140	3/8
1396	140	4/8
1397	140	5/8
1398	140	6/8
1399	X
1400	140	7/8
1401	141	0/9
1402	141	1/9
1403	141	2/9
1404	141	3/9
1405	141	4/9
1406	141	5/9
1407	X
1408	141	6/9
1409	141	7/9
1410	141	8/9
1411	142	0/9
1412	142	1/9
1413	142	2/9
1414	142	3/9
1415	X
1416	142	4/9
1417	142	5/9
1418	142	6/9
1419	142	7/9
1420	142	8/9
1421	143	0/9
1422	143	1/9
1423	X
1424	143	2/9
1425	143	3/9
1426	143	4/9
1427	143	5/9
1428	143	6/9
1429	143	7/9
1430	143	8/9
1431	X
1432	144	0/8
1433	144	1/8
1434	144	2/8
1435	144	3/8
1436	144	4/8
1437	144	5/8
1438	144	6/8
1439	X
1440	144	7/8
1441	145	0/9
1442	145	1/9
1443	145	2/9
1444	145	3/9
1445	145	4/9
1446	145	5/9
1447	X
1448	145	6/9
1449	145	7/9
1450	145	8/9
1451	146	0/9
1452	146	1/9
1453	146	2/9
1454	146	3/9
1455	X
1456	146	4/9
1457	146	5/9
1458	146	6/9
1459	146	7/9
1460	146	8/9
1461	147	0/9
1462	147	1/9
1463	X
1464	147	2/9
1465	147	3/9
1466	147	4/9
1467	147	5/9
1468	147	6/9
1469	147	7/9
1470	147	8/9
1471	X
1472	148	0/8
1473	148	1/8
1474	148	2/8
1475	148	3/8
1476	148	4/8
1477	148	5/8
1478	148	6/8
1479	X
1480	148	7/8
1481	149	0/9
1482	149	1/9
1483	149	2/9
1484	149	3/9
1485	149	4/9
1486	149	5/9
1487	X
1488	149	6/9
1489	149	7/9
1490	149	8/9
1491	150	0/9
1492	150	1/9
1493	150	2/9
1494	150	3/9
1495	X
1496	150	4/9
1497	150	5/9
1498	150	6/9
1499	150	7/9
1500	150	8/9
1501	151	0/9
1502	151	1/9
1503	X
1504	151	2/9
1505	151	3/9
1506	151	4/9
1507	151	5/9
1508	151	6/9
1509	151	7/9
1510	151	8/9
1511	X
1512	152	0/8
1513	152	1/8
1514	152	2/8
1515	152	3/8
1516	152	4/8
1517	152	5/8
1518	152	6/8
1519	X
1520	152	7/8
1521	153	0/9
1522	153	1/9
1523	153	2/9
1524	153	3/9
1525	153	4/9
1526	153	5/9
1527	X
1528	153	6/9
1529	153	7/9
1530	153	8/9
1531	154	0/9
1532	154	1/9
1533	154	2/9
1534	154	3/9
1535	X
1536	154	4/9
1537	154	5/9
1538	154	6/9
1539	154	7/9
1540	154	8/9
1541	155	0/9
1542	155	1/9
1543	X
1544	155	2/9
1545	155	3/9
1546	155	4/9
1547	155	5/9
1548	155	6/9
1549	155	7/9
1550	155	8/9
1551	X
1552	156	0/8
1553	156	1/8
1554	156	2/8
1555	156	3/8
1556	156	4/8
1557	156	5/8
1558	156	6/8
1559	X
1560	156	7/8
1561	157	0/9
1562	157	1/9
1563	157	2/9
1564	157	3/9
1565	157	4/9
1566	157	5/9
1567	X
1568	157	6/9
1569	157	7/9
1570	157	8/9
1571	158	0/9
1572	158	1/9
1573	158	2/9
1574	158	3/9
1575	X
1576	158	4/9
1577	158	5/9
1578	158	6/9
1579	158	7/9
1580	158	8/9
1581	159	0/9
1582	159	1/9
1583	X
1584	159	2/9
1585	159	3/9
1586	159	4/9
1587	159	5/9
1588	159	6/9
