3003/400	7+8	(Soul	Blade)
714	96	2/7
715	96	3/7
716	96	4/7
717	96	5/7
718	96	6/7
719	X
720	97	0/7
721	97	1/7
722	97	2/7
723	97	3/7
724	97	4/7
725	97	5/7
726	97	6/7
727	X
728	98	0/7
729	98	1/7
730	98	2/7
731	98	3/7
732	98	4/7
733	98	5/7
734	98	6/7
735	X
736	99	0/6
737	99	1/6
738	99	2/6
739	99	3/6
740	99	4/6
741	99	5/6
742	100	0/7
743	X
744	100	1/7
745	100	2/7
746	100	3/7
747	100	4/7
748	100	5/7
749	100	6/7
750	101	0/6
751	X
752	101	1/6
753	101	2/6
754	101	3/6
755	101	4/6
756	101	5/6
757	102	0/7
758	102	1/7
759	X
760	102	2/7
761	102	3/7
762	102	4/7
763	102	5/7
764	102	6/7
765	103	0/6
766	103	1/6
767	X
768	103	2/6
769	103	3/6
770	103	4/6
771	103	5/6
772	104	0/7
773	104	1/7
774	104	2/7
775	X
776	104	3/7
777	104	4/7
778	104	5/7
779	104	6/7
780	105	0/6
781	105	1/6
782	105	2/6
783	X
784	105	3/6
785	105	4/6
786	105	5/6
787	106	0/7
788	106	1/7
789	106	2/7
790	106	3/7
791	X
792	106	4/7
793	106	5/7
794	106	6/7
795	107	0/6
796	107	1/6
797	107	2/6
798	107	3/6
799	X
800	107	4/6
801	107	5/6
802	108	0/7
803	108	1/7
804	108	2/7
805	108	3/7
806	108	4/7
807	X
808	108	5/7
809	108	6/7
810	109	0/6
811	109	1/6
812	109	2/6
813	109	3/6
814	109	4/6
815	X
816	109	5/6
817	110	0/7
818	110	1/7
819	110	2/7
820	110	3/7
821	110	4/7
822	110	5/7
823	X
824	110	6/7
825	111	0/6
826	111	1/6
827	111	2/6
828	111	3/6
829	111	4/6
830	111	5/6
831	X
832	112	0/7
833	112	1/7
834	112	2/7
835	112	3/7
836	112	4/7
837	112	5/7
838	112	6/7
839	X
840	113	0/7
841	113	1/7
842	113	2/7
843	113	3/7
844	113	4/7
845	113	5/7
846	113	6/7
847	X
848	114	0/7
849	114	1/7
850	114	2/7
851	114	3/7
852	114	4/7
853	114	5/7
854	114	6/7
855	X
856	115	0/6
857	115	1/6
858	115	2/6
859	115	3/6
860	115	4/6
861	115	5/6
862	116	0/7
863	X
864	116	1/7
865	116	2/7
866	116	3/7
867	116	4/7
868	116	5/7
869	116	6/7
870	117	0/6
871	X
872	117	1/6
873	117	2/6
874	117	3/6
875	117	4/6
876	117	5/6
877	118	0/7
878	118	1/7
879	X
880	118	2/7
881	118	3/7
882	118	4/7
883	118	5/7
884	118	6/7
885	119	0/6
886	119	1/6
887	X
888	119	2/6
889	119	3/6
890	119	4/6
891	119	5/6
892	120	0/7
893	120	1/7
894	120	2/7
895	X
896	120	3/7
897	120	4/7
898	120	5/7
899	120	6/7
900	121	0/6
901	121	1/6
902	121	2/6
903	X
904	121	3/6
905	121	4/6
906	121	5/6
907	122	0/7
908	122	1/7
909	122	2/7
910	122	3/7
911	X
912	122	4/7
913	122	5/7
914	122	6/7
915	123	0/6
916	123	1/6
917	123	2/6
918	123	3/6
919	X
920	123	4/6
921	123	5/6
922	124	0/7
923	124	1/7
924	124	2/7
925	124	3/7
926	124	4/7
927	X
928	124	5/7
929	124	6/7
930	125	0/6
931	125	1/6
932	125	2/6
933	125	3/6
934	125	4/6
935	X
936	125	5/6
937	126	0/7
938	126	1/7
939	126	2/7
940	126	3/7
941	126	4/7
942	126	5/7
943	X
944	126	6/7
945	127	0/6
946	127	1/6
947	127	2/6
948	127	3/6
949	127	4/6
950	127	5/6
951	X
952	128	0/7
953	128	1/7
954	128	2/7
955	128	3/7
956	128	4/7
957	128	5/7
958	128	6/7
959	X
960	129	0/7
961	129	1/7
962	129	2/7
963	129	3/7
964	129	4/7
965	129	5/7
966	129	6/7
967	X
968	130	0/7
969	130	1/7
970	130	2/7
971	130	3/7
972	130	4/7
973	130	5/7
974	130	6/7
975	X
976	131	0/6
977	131	1/6
978	131	2/6
979	131	3/6
980	131	4/6
981	131	5/6
982	132	0/7
983	X
984	132	1/7
985	132	2/7
986	132	3/7
987	132	4/7
988	132	5/7
989	132	6/7
990	133	0/6
991	X
992	133	1/6
993	133	2/6
994	133	3/6
995	133	4/6
996	133	5/6
997	134	0/8
998	134	1/8
999	X
1000	134	2/8
1001	134	3/8
1002	134	4/8
1003	134	5/8
1004	134	6/8
1005	134	7/8
1006	135	0/6
1007	X
1008	135	1/6
1009	135	2/6
1010	135	3/6
1011	135	4/6
